GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:30:29 CDT 2019,30:29.3,-88.17586543,41.8089503,0,3,173,0,-0.2681506,-0.2873042,9.730036,0.004246928,567.5853062,0.004246928,0.891848683,0,718,-
Sat Apr 13 15:30:30 CDT 2019,30:30.3,-88.17586543,41.80895026,0,3,173,0,-0.21068975,-0.32561144,9.710882,0.009685338,567.5853062,0.009685338,0.889896214,0,718,-
Sat Apr 13 15:30:31 CDT 2019,30:31.3,-88.17586546,41.80895025,0,3,173,0,-0.22984336,-0.24899697,9.653421,0.003644884,567.5853062,0.003644884,0.884038866,0,718,-
Sat Apr 13 15:30:32 CDT 2019,30:32.3,-88.17586547,41.80895023,0,3,173,0,-0.2873042,-0.24899697,9.691729,0.007703602,567.5853062,0.003959848,0.887943745,0,718,-
Sat Apr 13 15:30:33 CDT 2019,30:33.3,-88.17586548,41.80895021,0,3,173,0,-0.21068975,-0.2681506,9.672575,0.00204002,567.5853062,0.00204002,0.885991275,0,718,-
Sat Apr 13 15:30:34 CDT 2019,30:34.3,-88.17586549,41.80895017,0,3,173,0,-0.19153613,-0.2873042,9.672575,0.005619347,567.5853062,0.005619347,0.885991275,0,718,-
Sat Apr 13 15:30:35 CDT 2019,30:35.3,-88.17586549,41.80895014,0,3,173,0,-0.30645782,-0.24899697,9.672575,0.005812526,567.5853062,0.005812526,0.885991275,0,718,-
Sat Apr 13 15:30:36 CDT 2019,30:36.3,-88.17586544,41.80895011,0,3,173,0,-0.30645782,-0.34476504,9.653421,0.006042825,567.5853062,0.006042825,0.884038866,0,718,-
Sat Apr 13 15:30:37 CDT 2019,30:37.3,-88.17586542,41.80895007,0,3,173,0,-0.2681506,-0.2681506,9.615114,-1.04E-04,567.5853062,-1.04E-04,0.880133927,0,718,-
Sat Apr 13 15:30:38 CDT 2019,30:38.3,-88.1758654,41.80895006,0,3,173,0,-0.2873042,-0.24899697,9.615114,-1.00E-04,567.5853062,-1.00E-04,0.880133927,0,718,-
Sat Apr 13 15:30:39 CDT 2019,30:39.3,-88.17586537,41.80895005,0,3,173,0,-0.22984336,-0.2681506,9.634268,0.004152523,567.5853062,0.004152523,0.882086396,0,718,-
Sat Apr 13 15:30:40 CDT 2019,30:40.3,-88.17586536,41.80895006,0,3,173,0,-0.2873042,-0.30645782,9.730036,0.003532001,567.5853062,0.003532001,0.891848683,0,718,-
Sat Apr 13 15:30:41 CDT 2019,30:41.3,-88.17586534,41.80895008,0,3,173,0,-0.2873042,-0.2873042,9.634268,0.001959324,567.5853062,0.001959324,0.882086396,0,718,-
Sat Apr 13 15:30:42 CDT 2019,30:42.3,-88.17586532,41.80895007,0,3,173,0,-0.24899697,-0.30645782,9.634268,0.001910865,567.5853062,0.001910865,0.882086396,0,718,-
Sat Apr 13 15:30:43 CDT 2019,30:43.3,-88.1758653,41.80895005,0,3,173,0,-0.24899697,-0.2873042,9.595961,9.80E-04,567.5853062,9.80E-04,0.878181458,0,718,-
Sat Apr 13 15:30:44 CDT 2019,30:44.3,-88.17586528,41.80895004,0,3,173,0,-0.24899697,-0.2681506,9.691729,0.007647693,567.5853062,0.007647693,0.887943745,0,718,-
Sat Apr 13 15:30:45 CDT 2019,30:45.3,-88.17586527,41.80895002,0,3,173,0,-0.24899697,-0.32561144,9.710882,0.009777665,567.5853062,0.009777665,0.889896214,0,718,-
Sat Apr 13 15:30:46 CDT 2019,30:46.3,-88.17586526,41.80895001,0,3,173,0,-0.21068975,-0.30645782,9.634268,0.001817763,567.5853062,0.001817763,0.882086396,0,718,-
Sat Apr 13 15:30:46 CDT 2019,30:47.3,-88.17586526,41.80895001,0,3,173,0,-0.2681506,-0.2873042,9.672575,0.005518206,567.5853062,0.005518205,0.885991275,0,718,-
Sat Apr 13 15:30:46 CDT 2019,30:48.3,-88.17586526,41.80895001,0,3,173,0,-0.24899697,-0.2873042,9.653421,0.003801704,567.5853062,0.003801703,0.884038866,0,718,-
